Wavelength(micron)	Fp/F*(Blackbody & heat fully redistribution ppm)	Fp/F*(Blackbody & heat fully redistribution ppm)
9.61	51.56	51.56
9.62	51.58	51.58
9.63	51.60	51.60
9.64	51.62	51.62
9.65	51.65	51.65
9.66	51.67	51.67
9.67	51.69	51.69
9.68	51.71	51.71
9.69	51.73	51.73
9.70	51.76	51.76
9.71	51.78	51.78
9.72	51.80	51.80
9.73	51.82	51.82
9.74	51.84	51.84
9.75	51.87	51.87
9.76	51.89	51.89
9.77	51.91	51.91
9.78	51.93	51.93
9.79	51.95	51.95
9.80	51.97	51.97
9.81	52.00	52.00
9.82	52.02	52.02
9.83	52.04	52.04
9.84	52.06	52.06
9.85	52.08	52.08
9.86	52.10	52.10
9.87	52.13	52.13
9.88	52.15	52.15
9.89	52.17	52.17
9.90	52.19	52.19
9.91	52.21	52.21
9.92	52.23	52.23
9.93	52.25	52.25
9.94	52.27	52.27
9.95	52.30	52.30
9.96	52.32	52.32
9.97	52.34	52.34
9.98	52.36	52.36
9.99	52.38	52.38
10.00	52.40	52.40
10.01	52.42	52.42
10.02	52.44	52.44
10.03	52.46	52.46
10.04	52.48	52.48
10.05	52.50	52.50
10.06	52.52	52.52
10.07	52.55	52.55
10.08	52.57	52.57
10.09	52.59	52.59
10.10	52.61	52.61
10.11	52.63	52.63
10.12	52.65	52.65
10.13	52.67	52.67
10.14	52.69	52.69
10.15	52.71	52.71
10.16	52.73	52.73
10.17	52.75	52.75
10.18	52.77	52.77
10.19	52.79	52.79
10.20	52.81	52.81
10.21	52.83	52.83
10.22	52.85	52.85
10.23	52.87	52.87
10.24	52.89	52.89
10.25	52.91	52.91
10.26	52.93	52.93
10.27	52.95	52.95
10.28	52.97	52.97
10.29	52.99	52.99
10.30	53.01	53.01
10.31	53.03	53.03
10.32	53.05	53.05
10.33	53.07	53.07
10.34	53.09	53.09
10.35	53.11	53.11
10.36	53.13	53.13
10.37	53.15	53.15
10.38	53.17	53.17
10.39	53.19	53.19
10.40	53.21	53.21
10.41	53.23	53.23
10.42	53.25	53.25
10.43	53.26	53.26
10.44	53.28	53.28
10.45	53.30	53.30
10.46	53.32	53.32
10.47	53.34	53.34
10.48	53.36	53.36
10.49	53.38	53.38
10.50	53.40	53.40
10.51	53.42	53.42
10.52	53.44	53.44
10.53	53.46	53.46
10.54	53.48	53.48
10.55	53.49	53.49
10.56	53.51	53.51
10.57	53.53	53.53
10.58	53.55	53.55
10.59	53.57	53.57
10.60	53.59	53.59
10.61	53.61	53.61
10.62	53.63	53.63
10.63	53.65	53.65
10.64	53.66	53.66
10.65	53.68	53.68
10.66	53.70	53.70
10.67	53.72	53.72
10.68	53.74	53.74
10.69	53.76	53.76
10.70	53.78	53.78
10.71	53.79	53.79
10.72	53.81	53.81
10.73	53.83	53.83
10.74	53.85	53.85
10.75	53.87	53.87
10.76	53.89	53.89
10.77	53.90	53.90
10.78	53.92	53.92
10.79	53.94	53.94
10.80	53.96	53.96
10.81	53.98	53.98
10.82	54.00	54.00
10.83	54.01	54.01
10.84	54.03	54.03
10.85	54.05	54.05
10.86	54.07	54.07
10.87	54.09	54.09
10.88	54.10	54.10
10.89	54.12	54.12
10.90	54.14	54.14
10.91	54.16	54.16
10.92	54.17	54.17
10.93	54.19	54.19
10.94	54.21	54.21
10.95	54.23	54.23
10.96	54.25	54.25
10.97	54.26	54.26
10.98	54.28	54.28
10.99	54.30	54.30
11.00	54.32	54.32
11.01	54.33	54.33
11.02	54.35	54.35
11.03	54.37	54.37
11.04	54.39	54.39
11.05	54.40	54.40
11.06	54.42	54.42
11.07	54.44	54.44
11.08	54.46	54.46
11.09	54.47	54.47
11.10	54.49	54.49
11.11	54.51	54.51
11.12	54.53	54.53
11.13	54.54	54.54
11.14	54.56	54.56
11.15	54.58	54.58
11.16	54.59	54.59
11.17	54.61	54.61
11.18	54.63	54.63
11.19	54.65	54.65
11.20	54.66	54.66
11.21	54.68	54.68
11.22	54.70	54.70
11.23	54.71	54.71
11.24	54.73	54.73
11.25	54.75	54.75
11.26	54.76	54.76
11.27	54.78	54.78
11.28	54.80	54.80
11.29	54.81	54.81
11.30	54.83	54.83
11.31	54.85	54.85
11.32	54.86	54.86
11.33	54.88	54.88
11.34	54.90	54.90
11.35	54.91	54.91
11.36	54.93	54.93
11.37	54.95	54.95
11.38	54.96	54.96
11.39	54.98	54.98
11.40	55.00	55.00
11.41	55.01	55.01
11.42	55.03	55.03
11.43	55.05	55.05
11.44	55.06	55.06
11.45	55.08	55.08
11.46	55.10	55.10
11.47	55.11	55.11
11.48	55.13	55.13
11.49	55.14	55.14
11.50	55.16	55.16
11.51	55.18	55.18
11.52	55.19	55.19
11.53	55.21	55.21
11.54	55.23	55.23
11.55	55.24	55.24
11.56	55.26	55.26
11.57	55.27	55.27
11.58	55.29	55.29
11.59	55.31	55.31
11.60	55.32	55.32
11.61	55.34	55.34
11.62	55.35	55.35
11.63	55.37	55.37
11.64	55.39	55.39
11.65	55.40	55.40
11.66	55.42	55.42
11.67	55.43	55.43
11.68	55.45	55.45
11.69	55.46	55.46
