Wavelength(micron)	Fp/F*(High albedo_specular ppm)	Fp/F*(High albedo_Lambert ppm)
8.90	70.34	71.01
8.91	70.22	70.91
8.92	70.12	70.81
8.93	70.01	70.71
8.94	69.90	70.62
8.95	69.79	70.52
8.96	69.68	70.42
8.97	69.57	70.33
8.98	69.46	70.23
8.99	69.35	70.13
9.00	69.24	70.04
9.01	69.13	69.94
9.02	69.02	69.84
9.03	68.91	69.74
9.04	68.80	69.65
9.05	68.70	69.55
9.06	68.59	69.46
9.07	68.49	69.37
9.08	68.38	69.28
9.09	68.28	69.19
9.10	68.17	69.09
9.11	68.07	69.00
9.12	67.96	68.91
9.13	67.86	68.81
9.14	67.75	68.72
9.15	67.65	68.63
9.16	67.54	68.53
9.17	67.44	68.44
9.18	67.33	68.35
9.19	67.22	68.25
9.20	67.11	68.15
9.21	67.00	68.05
9.22	66.89	67.95
9.23	66.78	67.86
9.24	66.67	67.76
9.25	66.56	67.66
9.26	66.44	67.56
9.27	66.33	67.46
9.28	66.22	67.36
9.29	66.11	67.27
9.30	66.00	67.17
9.31	65.89	67.07
9.32	65.78	66.97
9.33	65.67	66.87
9.34	65.56	66.78
9.35	65.45	66.68
9.36	65.34	66.59
9.37	65.24	66.49
9.38	65.13	66.39
9.39	65.02	66.30
9.40	64.91	66.20
9.41	64.81	66.11
9.42	64.70	66.01
9.43	64.59	65.92
9.44	64.48	65.82
9.45	64.37	65.72
9.46	64.27	65.63
9.47	64.16	65.53
9.48	64.05	65.43
9.49	63.96	65.35
9.50	63.87	65.27
9.51	63.77	65.19
9.52	63.68	65.11
9.53	63.59	65.03
9.54	63.50	64.95
9.55	63.41	64.87
9.56	63.32	64.79
9.57	63.23	64.71
9.58	63.14	64.63
9.59	63.05	64.55
9.60	62.95	64.46
9.61	62.86	64.38
9.62	62.77	64.30
9.63	62.68	64.22
9.64	62.59	64.14
9.65	62.49	64.06
9.66	62.44	64.01
9.67	62.39	63.97
9.68	62.35	63.93
9.69	62.30	63.89
9.70	62.26	63.85
9.71	62.21	63.81
9.72	62.17	63.77
9.73	62.13	63.73
9.74	62.08	63.70
9.75	62.04	63.66
9.76	61.99	63.62
9.77	61.95	63.58
9.78	61.90	63.54
9.79	61.86	63.50
9.80	61.81	63.46
9.81	61.77	63.42
9.82	61.72	63.38
9.83	61.68	63.34
9.84	61.63	63.30
9.85	61.59	63.26
9.86	61.54	63.22
9.87	61.53	63.21
9.88	61.54	63.22
9.89	61.54	63.23
9.90	61.55	63.24
9.91	61.56	63.25
9.92	61.57	63.26
9.93	61.57	63.27
9.94	61.58	63.27
9.95	61.59	63.28
9.96	61.60	63.29
9.97	61.61	63.30
9.98	61.61	63.31
9.99	61.62	63.32
10.00	61.63	63.32
10.01	61.64	63.33
10.02	61.64	63.34
10.03	61.65	63.35
10.04	61.66	63.36
10.05	61.67	63.36
10.06	61.67	63.37
10.07	61.68	63.38
10.08	61.69	63.39
10.09	61.70	63.40
10.10	61.73	63.43
10.11	61.78	63.48
10.12	61.84	63.53
10.13	61.89	63.58
10.14	61.94	63.63
10.15	62.00	63.68
10.16	62.05	63.73
10.17	62.10	63.77
10.18	62.16	63.82
10.19	62.21	63.87
10.20	62.26	63.92
10.21	62.31	63.97
10.22	62.37	64.02
10.23	62.42	64.07
10.24	62.47	64.12
10.25	62.53	64.17
10.26	62.58	64.22
10.27	62.63	64.27
10.28	62.69	64.32
10.29	62.74	64.37
10.30	62.79	64.41
10.31	62.84	64.46
10.32	62.90	64.51
10.33	62.97	64.58
10.34	63.05	64.65
10.35	63.13	64.72
10.36	63.20	64.80
10.37	63.28	64.87
10.38	63.36	64.94
10.39	63.44	65.02
10.40	63.52	65.09
10.41	63.60	65.16
10.42	63.68	65.23
10.43	63.76	65.31
10.44	63.84	65.38
10.45	63.92	65.45
10.46	63.99	65.52
10.47	64.07	65.60
10.48	64.15	65.67
10.49	64.23	65.74
10.50	64.31	65.82
10.51	64.39	65.89
10.52	64.47	65.96
10.53	64.55	66.03
10.54	64.63	66.11
10.55	64.71	66.18
10.56	64.79	66.26
10.57	64.89	66.35
10.58	64.98	66.43
10.59	65.07	66.52
10.60	65.16	66.60
10.61	65.25	66.69
10.62	65.35	66.77
10.63	65.44	66.85
10.64	65.53	66.94
10.65	65.62	67.02
10.66	65.72	67.11
10.67	65.81	67.19
10.68	65.90	67.28
10.69	65.99	67.36
10.70	66.09	67.45
10.71	66.18	67.53
10.72	66.27	67.62
10.73	66.36	67.70
10.74	66.45	67.79
10.75	66.55	67.87
10.76	66.64	67.96
10.77	66.73	68.04
10.78	66.82	68.13
10.79	66.92	68.22
