Wavelength(micron)	Fp/F*(Blackbody ppm)	Fp/F*(Blackbody ppm)
8.96	72.62	72.62
8.97	72.64	72.64
8.98	72.67	72.67
8.99	72.69	72.69
9.00	72.71	72.71
9.01	72.74	72.74
9.02	72.76	72.76
9.03	72.78	72.78
9.04	72.81	72.81
9.05	72.83	72.83
9.06	72.85	72.85
9.07	72.88	72.88
9.08	72.90	72.90
9.09	72.92	72.92
9.10	72.94	72.94
9.11	72.97	72.97
9.12	72.99	72.99
9.13	73.01	73.01
9.14	73.04	73.04
9.15	73.06	73.06
9.16	73.08	73.08
9.17	73.10	73.10
9.18	73.13	73.13
9.19	73.15	73.15
9.20	73.17	73.17
9.21	73.19	73.19
9.22	73.21	73.21
9.23	73.24	73.24
9.24	73.26	73.26
9.25	73.28	73.28
9.26	73.30	73.30
9.27	73.33	73.33
9.28	73.35	73.35
9.29	73.37	73.37
9.30	73.39	73.39
9.31	73.41	73.41
9.32	73.43	73.43
9.33	73.46	73.46
9.34	73.48	73.48
9.35	73.50	73.50
9.36	73.52	73.52
9.37	73.54	73.54
9.38	73.56	73.56
9.39	73.59	73.59
9.40	73.61	73.61
9.41	73.63	73.63
9.42	73.65	73.65
9.43	73.67	73.67
9.44	73.69	73.69
9.45	73.71	73.71
9.46	73.73	73.73
9.47	73.76	73.76
9.48	73.78	73.78
9.49	73.80	73.80
9.50	73.82	73.82
9.51	73.84	73.84
9.52	73.86	73.86
9.53	73.88	73.88
9.54	73.90	73.90
9.55	73.92	73.92
9.56	73.94	73.94
9.57	73.97	73.97
9.58	73.99	73.99
9.59	74.01	74.01
9.60	74.03	74.03
9.61	74.05	74.05
9.62	74.07	74.07
9.63	74.09	74.09
9.64	74.11	74.11
9.65	74.13	74.13
9.66	74.15	74.15
9.67	74.17	74.17
9.68	74.19	74.19
9.69	74.21	74.21
9.70	74.23	74.23
9.71	74.25	74.25
9.72	74.27	74.27
9.73	74.29	74.29
9.74	74.31	74.31
9.75	74.33	74.33
9.76	74.35	74.35
9.77	74.37	74.37
9.78	74.39	74.39
9.79	74.41	74.41
9.80	74.43	74.43
9.81	74.45	74.45
9.82	74.47	74.47
9.83	74.49	74.49
9.84	74.51	74.51
9.85	74.53	74.53
9.86	74.55	74.55
9.87	74.57	74.57
9.88	74.59	74.59
9.89	74.61	74.61
9.90	74.63	74.63
9.91	74.65	74.65
9.92	74.67	74.67
9.93	74.68	74.68
9.94	74.70	74.70
9.95	74.72	74.72
9.96	74.74	74.74
9.97	74.76	74.76
9.98	74.78	74.78
9.99	74.80	74.80
10.00	74.82	74.82
10.01	74.84	74.84
10.02	74.86	74.86
10.03	74.88	74.88
10.04	74.89	74.89
10.05	74.91	74.91
10.06	74.93	74.93
10.07	74.95	74.95
10.08	74.97	74.97
10.09	74.99	74.99
10.10	75.01	75.01
10.11	75.03	75.03
10.12	75.04	75.04
10.13	75.06	75.06
10.14	75.08	75.08
10.15	75.10	75.10
10.16	75.12	75.12
10.17	75.14	75.14
10.18	75.16	75.16
10.19	75.17	75.17
10.20	75.19	75.19
10.21	75.21	75.21
10.22	75.23	75.23
10.23	75.25	75.25
10.24	75.27	75.27
10.25	75.28	75.28
10.26	75.30	75.30
10.27	75.32	75.32
10.28	75.34	75.34
10.29	75.36	75.36
10.30	75.37	75.37
10.31	75.39	75.39
10.32	75.41	75.41
10.33	75.43	75.43
10.34	75.45	75.45
10.35	75.46	75.46
10.36	75.48	75.48
10.37	75.50	75.50
10.38	75.52	75.52
