Wavelength(micron)	Fp/F*(Low albedo_specular ppm)	Fp/F*(Low albedo_Lambert ppm)
7.89	68.95	69.00
7.90	68.99	69.04
7.91	69.03	69.09
7.92	69.08	69.13
7.93	69.12	69.17
7.94	69.16	69.21
7.95	69.20	69.25
7.96	69.25	69.29
7.97	69.29	69.33
7.98	69.33	69.38
7.99	69.37	69.42
8.00	69.42	69.46
8.01	69.46	69.50
8.02	69.50	69.54
8.03	69.54	69.58
8.04	69.59	69.62
8.05	69.63	69.66
8.06	69.67	69.70
8.07	69.71	69.74
8.08	69.76	69.78
8.09	69.80	69.82
8.10	69.84	69.86
8.11	69.88	69.91
8.12	69.92	69.95
8.13	69.96	69.99
8.14	70.01	70.03
8.15	70.05	70.07
8.16	70.09	70.11
8.17	70.13	70.15
8.18	70.15	70.16
8.19	70.14	70.16
8.20	70.14	70.16
8.21	70.13	70.16
8.22	70.13	70.16
8.23	70.12	70.15
8.24	70.11	70.15
8.25	70.11	70.15
8.26	70.10	70.15
8.27	70.10	70.14
8.28	70.09	70.14
8.29	70.08	70.14
8.30	70.08	70.14
8.31	70.07	70.13
8.32	70.06	70.13
8.33	70.06	70.13
8.34	70.05	70.12
8.35	70.04	70.12
8.36	70.04	70.12
8.37	70.03	70.11
8.38	70.02	70.11
8.39	70.01	70.11
8.40	70.01	70.10
8.41	70.00	70.10
8.42	69.99	70.10
8.43	69.99	70.09
8.44	69.98	70.09
8.45	69.97	70.08
8.46	69.96	70.08
8.47	69.95	70.07
8.48	69.95	70.07
8.49	69.94	70.07
8.50	69.93	70.06
8.51	69.92	70.06
8.52	69.91	70.05
8.53	69.91	70.05
8.54	69.90	70.04
8.55	69.89	70.04
8.56	69.88	70.03
8.57	69.87	70.03
8.58	69.86	70.02
8.59	69.85	70.02
8.60	69.84	70.01
8.61	69.84	70.01
8.62	69.83	70.00
8.63	69.82	70.00
8.64	69.81	69.99
8.65	69.80	69.98
8.66	69.79	69.98
8.67	69.78	69.97
8.68	69.77	69.97
8.69	69.76	69.96
8.70	69.74	69.94
8.71	69.71	69.92
8.72	69.69	69.90
8.73	69.66	69.88
8.74	69.64	69.87
8.75	69.62	69.85
8.76	69.59	69.83
8.77	69.57	69.81
8.78	69.54	69.79
8.79	69.52	69.77
8.80	69.50	69.75
8.81	69.47	69.73
8.82	69.43	69.70
8.83	69.38	69.66
8.84	69.33	69.61
8.85	69.27	69.56
8.86	69.22	69.52
8.87	69.17	69.47
8.88	69.11	69.43
8.89	69.06	69.38
8.90	69.00	69.34
8.91	68.32	68.73
8.92	68.33	68.74
8.93	68.33	68.74
8.94	68.34	68.75
8.95	68.34	68.76
8.96	68.35	68.76
8.97	68.35	68.77
8.98	68.35	68.77
8.99	68.36	68.78
9.00	68.36	68.79
9.01	68.37	68.79
9.02	68.37	68.80
9.03	68.37	68.80
9.04	68.38	68.81
9.05	68.38	68.81
9.06	68.39	68.82
9.07	68.39	68.83
